,invoice_id,customer,status,invoice_modified,invoice_created
0,inv_0,22cb24c1-689f-4861-8614-f026649652c9,sent,day0,day0
1,inv_1,61f0507e-37d3-4433-8368-e3ffc9f47a4a,sent,day0,day0
2,inv_2,35982876-017c-48a0-aa88-ad2f3715e869,sent,day0,day0
3,inv_3,fcd3971a-27e8-410f-9794-845fd635069f,sent,day0,day0
4,inv_4,7433ed9e-ca1d-4975-8054-bb3684b6d315,sent,day0,day0
5,inv_5,b2a0a56b-e2a6-435b-92f3-b18c8cfc6fb4,draft,day0,day0
6,inv_6,3424218d-c504-4b7a-b979-5b61cb30ac1d,sent,day0,day0
7,inv_7,a3c0d99d-3347-473d-be62-8777f5092ec9,sent,day0,day0
8,inv_8,f95f0f0e-4b58-441e-b7a4-5145229b8b93,sent,day0,day0
9,inv_9,5f048207-7268-46a6-a88d-9c202e42e48e,sent,day0,day0
10,inv_10,764b9e6f-5e33-4d12-8d0b-d6379844e215,sent,day0,day0
11,inv_11,c57599eb-427c-4fce-923a-44f6fc428d39,sent,day0,day0
12,inv_12,45537bad-9861-4caf-b21c-9f1e92ad889f,sent,day0,day0
13,inv_13,8c2b0fd7-168d-47a8-8d47-898d8aa6e6cd,sent,day0,day0
14,inv_14,7d3aed02-0e19-45af-bb3f-8bc443a2ed32,sent,day0,day0
15,inv_15,87eec023-4b92-4914-8fb0-24d9ea3db07a,sent,day0,day0
16,inv_16,60d77234-e5f3-49ba-87de-b6375421cac7,sent,day0,day0
17,inv_17,9b38445e-876f-401a-8452-321e5e91ee6f,sent,day0,day0
18,inv_18,230c7bbc-bc1a-412e-a09c-3b8bd43cc568,sent,day0,day0
19,inv_19,a242ab7a-6663-44d1-94ef-f747ebf9f0a8,sent,day0,day0
20,inv_20,3d245a88-2fbd-4097-8c35-1693b857148a,sent,day0,day0
21,inv_21,26e6e6ef-8b9c-4f55-8982-dd79cc3dc6c9,sent,day0,day0
22,inv_22,73f3e00f-6ab1-46c2-ac14-6a63a8ef7339,sent,day0,day0
23,inv_23,4c1b2330-2678-4dd1-903a-a794d1ee3127,sent,day0,day0
24,inv_24,a27d6958-9372-4d6c-8860-0ae5da903910,sent,day0,day0
25,inv_25,3165d67f-6f41-4457-8d82-0bee2440adf2,draft,day0,day0
26,inv_26,83384263-45f0-48a9-9b0d-8382a3a95600,sent,day0,day0
27,inv_27,f8ac8ce8-18f4-4eb4-ba2b-188900065924,sent,day0,day0
28,inv_28,92959de4-b1c7-42ed-ae77-87c1606f08d7,sent,day0,day0
29,inv_29,ce90e7d8-8b3f-4d7c-a45d-c8ae7017e500,sent,day0,day0
30,inv_30,659e20ff-c177-458d-bd93-08cffb8c9b8d,sent,day0,day0
31,inv_31,8a6d81bb-7c2a-4e51-a476-d63b3ed18bcb,draft,day0,day0
32,inv_32,d6f63d55-0737-4300-86a8-e5fb24c18ed1,sent,day0,day0
33,inv_33,5c9aa433-a5cc-4c3f-863c-fe0cb9f98c68,draft,day0,day0
34,inv_34,4a93a490-1682-425a-b32d-887d1ba213cb,draft,day0,day0
35,inv_35,fff3fd90-1188-4390-ad88-33b6c6b6262e,sent,day0,day0
36,inv_36,91e2ba6f-8802-411d-9c44-dd6752908175,sent,day0,day0
37,inv_37,7a53371c-f4c0-4925-990f-af2393757c74,sent,day0,day0
38,inv_38,d1ef3bc3-2b05-4423-98b5-67b16ffc84cf,sent,day0,day0
39,inv_39,5505c2c6-68b1-41f4-bc57-3b8da30269fe,sent,day0,day0
40,inv_40,a87a593f-fccb-41cd-ab99-cd8578ea584d,sent,day0,day0
41,inv_41,b8273643-0bbc-4036-b963-bb5cbfbf81cc,sent,day0,day0
42,inv_42,e2184efb-4c51-48d5-8f32-ea56169dc733,sent,day0,day0
43,inv_43,1098759d-c04c-47e2-96a2-4637fc7d2d80,sent,day0,day0
44,inv_44,ac375d26-400d-4a09-9359-146a92aaea96,sent,day0,day0
45,inv_45,3d102a0e-e88b-43e6-9b19-102e3ef1bc85,sent,day0,day0
46,inv_46,2aec03c3-d782-4dab-85c8-454479b4189c,sent,day0,day0
47,inv_47,11cdac30-b37b-4289-b322-2def0f99bfac,sent,day0,day0
