,invoice_item_id,invoice,count,product
0,506a51d9-0922-4314-a984-65b4c71c836a,inv_0,4,p_104
1,a43603b0-7412-478a-b5b8-4861a568325c,inv_1,1,p_45
2,acc89a0a-81d0-4a2c-99d8-095002c71e74,inv_1,1,p_46
3,f8aad027-5058-4794-8330-a4b948cf3b0e,inv_2,2,p_8
4,ceffcbe9-2a03-49c1-8d4d-02f6ba5be806,inv_2,3,p_31
5,223655dc-7916-4653-9ecd-6ac671e219b5,inv_3,4,p_106
6,1f291c16-ae70-438f-bd4e-5ef3797a851f,inv_3,4,p_50
7,c547cd10-181d-4620-ac49-f50caa2990c1,inv_4,4,p_27
8,2d32284f-753e-4f56-b144-9dcb6b12d726,inv_5,4,p_121
9,23833091-e3a4-4f59-b0c9-76d90e6e893c,inv_5,1,p_79
10,4d4d7af0-b06d-431e-8218-4531be64b331,inv_5,4,p_95
11,711e59e2-0d0c-4f13-9ff4-3c8ed6281e82,inv_5,2,p_17
12,3ec94d37-07d0-4d52-b303-dddecd527c4e,inv_6,1,p_36
13,ef98673c-5afe-4095-931d-4e26dbb42584,inv_6,2,p_42
14,083ce253-0240-431e-910d-0b7b8a83f551,inv_6,3,p_43
15,6436aff6-276d-4c44-a806-83939a3fe596,inv_6,1,p_23
16,d9f7aadb-5760-4538-b196-f2cb47b7228f,inv_6,4,p_16
17,48b84a35-b4b4-432e-a852-58cc12eda13f,inv_7,1,p_56
18,8cf77f7a-cea0-4cbd-80fb-a6c5f10bea51,inv_7,2,p_43
19,364ea776-3d92-4cb8-a581-f02073364187,inv_7,4,p_44
20,23ad31b5-1054-45b1-95e9-fda920a234aa,inv_8,1,p_58
21,c23390cb-7077-48c3-b771-fd58954df7a9,inv_9,4,p_32
22,17870a2a-b5db-42b0-b7ff-a9c80ed21df9,inv_9,1,p_3
23,230bbe8d-73c7-413e-86cf-979a6204ca24,inv_9,1,p_97
24,6dc91912-5e36-4953-a405-39641f744716,inv_9,2,p_112
25,bef5ca4c-555d-4540-a0c4-a5aa4eaa8cae,inv_9,2,p_87
26,96f1b476-7363-435a-9da7-b95ee2743875,inv_10,4,p_43
27,1593b0a6-7130-48be-8561-b298a6c67c9e,inv_10,3,p_102
28,c57030de-8ea7-430a-af5f-176ad729d20e,inv_10,3,p_41
29,82d5d005-034b-4bca-b27f-cbdf9088173d,inv_10,2,p_51
30,1e0603d3-2f68-4eea-a139-65d12ac42d4c,inv_11,2,p_25
31,8d58aeb0-54c5-4ebf-869e-3a2c1ff44503,inv_11,1,p_83
32,b4dbeb0f-6d53-4605-94d4-6958abb7d282,inv_11,4,p_96
33,27a19b44-ee89-4c0c-96bd-6e87fb4cdc77,inv_12,2,p_41
34,309d057a-9d67-4e3d-8259-51ae15481180,inv_12,3,p_113
35,8cf44d13-96d7-4e6f-93db-303271f0b155,inv_12,3,p_98
36,d4798271-6b12-453f-b8e1-c17e4fc43851,inv_13,2,p_42
37,ef358301-6ab6-4d80-990c-2965831917e0,inv_13,2,p_76
38,4b6e9a6d-731c-4be3-a6f8-20fb0920ef6a,inv_13,4,p_22
39,5aca9a7d-18dd-41d3-9015-67ecd748bdad,inv_13,4,p_18
40,651094a8-885d-451b-aed7-5eff95b44c3e,inv_14,2,p_48
41,ad8f9fed-a0a1-4c48-9a81-8ffe8a40455e,inv_14,2,p_2
42,52697e94-a054-4ae2-ac4b-e77eb03b2e9f,inv_14,1,p_74
43,8efe1ba6-381d-40e4-a22b-72db860adff8,inv_14,4,p_119
44,851cb9c9-1634-426e-859f-a257c15b75eb,inv_15,2,p_1
45,45907c3a-3e14-4379-a457-cf1af24c2dee,inv_15,1,p_89
46,cb7fa4ca-6ba6-4386-9df5-159d1701621e,inv_16,3,p_21
47,ca3f7677-6c85-4552-b6e9-19359325ff96,inv_16,3,p_49
48,bea7e533-3bd5-4881-96fd-dd4dc0626437,inv_16,2,p_30
49,5639127c-09b4-4eb4-9f26-4b0dfc2e04d0,inv_17,3,p_122
50,e6de7d38-7efe-475f-9130-bbcfa60e0218,inv_17,1,p_11
51,0217e944-0acb-4c12-8089-f39c9188163c,inv_17,1,p_14
52,7ef715eb-83e7-4dbd-8008-14c567a20684,inv_18,2,p_1
53,61647bc2-6bd9-4eda-b80a-ca39b647d059,inv_18,1,p_98
54,ad46b533-6df0-4224-af7d-46da5186c6b2,inv_18,1,p_23
55,bfda463a-0283-47d0-aac8-36f5cdf0b724,inv_18,4,p_53
56,a2ab1d4b-c2cc-44a4-849c-872fce0dcc76,inv_19,4,p_84
57,fc3a2cb9-4006-4bd9-b908-e534ccc138b7,inv_19,3,p_38
58,8b863e6f-f932-4ad7-9b8b-52edc450814d,inv_19,2,p_82
59,2314998a-7008-4948-beac-7d32b3afa1db,inv_19,2,p_110
60,aa8dd4c1-5916-4d95-be14-7b2eeda6b380,inv_20,3,p_11
61,4b80ce94-a02f-49c0-ac43-b857da4b171e,inv_20,1,p_116
62,0f66d8d3-19d8-48dd-9a52-e9811ccf1498,inv_20,2,p_8
63,9d45b5c1-b4fd-4657-84bf-11086fd7b9f4,inv_21,4,p_120
64,357e280e-9654-49a8-b4a2-8b927569d036,inv_22,3,p_88
65,804125ef-e0e1-4018-a730-a1cc3d916241,inv_22,2,p_5
66,8c5b28ad-2357-4017-8522-72b21e168d2a,inv_23,3,p_117
67,0c9678f9-7a55-45b3-81d5-4e50a8c5f82d,inv_23,4,p_14
68,45bcbdee-aded-4dc1-af36-9f7b0221d5f2,inv_23,4,p_69
69,f1460888-5997-4ddd-9d38-b38b6ff605de,inv_23,3,p_68
70,8ba74a9d-5f73-40e3-b855-d40857a97ab2,inv_24,4,p_27
71,9409d2ab-3470-4550-a696-da455bfd7d35,inv_24,1,p_52
72,158386ed-b4c2-4520-84d3-9986489bb439,inv_25,2,p_103
73,87a2f5df-dec7-4f64-ae2a-72e2d43e3f35,inv_25,4,p_118
74,ed04837e-86a7-49f8-beb4-8554b6fb389d,inv_25,1,p_33
75,7cf6267d-cfaa-447d-ab5b-c757af07ad9f,inv_26,1,p_5
76,1e6a33a2-a929-4b6c-ad1f-c0a55b2a81af,inv_27,1,p_66
77,fe131026-ab9b-4ef8-99e0-c7a14e5260d2,inv_27,1,p_72
78,800f2da3-8dcc-4568-a84b-46b5b78552f0,inv_27,2,p_94
79,04d41815-1a46-4325-b022-e65a86de3bcc,inv_27,2,p_101
80,a3d46ddc-e929-4b9c-9327-81c89f6d9157,inv_28,4,p_35
81,f8919219-6aff-4200-be28-ac380402d235,inv_29,4,p_51
82,1831c04f-e42c-4695-bcf6-02d4fc66b96f,inv_30,2,p_111
83,649483fb-627a-43fd-bab7-7d82796d300e,inv_30,4,p_61
84,99de0b45-9f72-48e9-b361-08e842162e91,inv_30,1,p_113
