,product_id,product_name,price,product_modified,product_created
0,p_113,doodad113,3.09,day1,day0
1,p_50,doodad50,8.3,day1,day0
2,p_90,widget90,41.63,day1,day0
3,p_12,widget12,17.94,day1,day0
4,p_46,sproket46,9.45,day1,day0
5,p_73,sproket73,17.95,day1,day0
6,p_124,sproket124,17.44,day1,day0
7,p_93,widget93,69.5,day1,day0
8,p_2,doodad2,7.57,day1,day0
9,p_107,doodad107,7.07,day1,day0
10,p_56,doodad56,71.43,day1,day0
11,p_97,sproket97,33.06,day1,day0
12,p_27,widget27,22.57,day1,day0
13,p_88,sproket88,23.67,day1,day0
14,p_31,sproket31,99.07,day1,day0
15,p_37,sproket37,43.04,day1,day0
16,p_16,sproket16,13.72,day1,day0
17,p_106,sproket106,46.47,day1,day0
18,p_60,widget60,2.55,day1,day0
19,p_62,doodad62,52.58,day1,day0
20,p_26,doodad26,27.85,day1,day0
21,p_9,widget9,39.68,day1,day0
22,p_103,sproket103,62.81,day1,day0
23,p_38,doodad38,51.36,day1,day0
24,p_11,doodad11,9.54,day1,day0
25,p_200,doodad200,83.08,day1,day1
26,p_201,widget201,41.43,day1,day1
27,p_202,sproket202,92.54,day1,day1
28,p_203,doodad203,82.94,day1,day1
29,p_204,widget204,41.83,day1,day1
30,p_205,sproket205,59.69,day1,day1
31,p_206,doodad206,13.69,day1,day1
32,p_207,widget207,20.79,day1,day1
33,p_208,sproket208,30.9,day1,day1
34,p_209,doodad209,11.17,day1,day1
35,p_210,widget210,17.63,day1,day1
36,p_211,sproket211,97.28,day1,day1
37,p_212,doodad212,80.2,day1,day1
38,p_213,widget213,58.54,day1,day1
39,p_214,sproket214,31.65,day1,day1
40,p_215,doodad215,69.79,day1,day1
41,p_216,widget216,41.29,day1,day1
42,p_217,sproket217,10.53,day1,day1
43,p_218,doodad218,0.25,day1,day1
44,p_219,widget219,14.73,day1,day1
45,p_220,sproket220,41.78,day1,day1
46,p_221,doodad221,0.79,day1,day1
47,p_222,widget222,11.57,day1,day1
48,p_223,sproket223,47.56,day1,day1
49,p_224,doodad224,42.92,day1,day1
